ID,Likability,Text
0,1,"《「さて、時間だ」》,《「お前なんかに割く価値のある時間はもうない」》"
1,1,"《「あぁ、まだいたのか」》,《「さっさと失せろ」》"
2,"2,3,4","《「毎度あり」》,《「まぁ、また直ぐに会うことになるだろう」》"
3,"2,3,4","《「さて、この辺りで時間切れだ」》,《「これでも暇ではない身分でね、失礼させてもらうよ」》"
4,"2,3,4","《「商人の奴らとは会ったか？」》,《「奴らの言葉に耳を傾けることは重要だ」》,《「その多くは無駄なことかもしれないが」》"
5,"2,3,4","《「お前たちは常に渇望している」》,《「いつまでも満たされることはない」》,《「だからこそ、何を選ぶかが重要だ」》"
6,"2,3,4","《「お前が元々いた場所では当たり前で無価値なものでも」》,《「ここでは価値のあるものとして扱われる」》,《「逆も然りだ、ゴミ同然のものですら」》,《「ここでは何かを支払わなければ手に入れることは出来ない」》"
7,"2,3,4","《「この洞窟で骨になった奴を多く見てきたが」》,《「お前はそうならないことを祈ってるよ」》"
8,"2,3,4","《「もう良いのか？」》,《「時が経つのは中々に早い」》,《「気が付けば奈落の顔ぶれも変わっている」》,《「さっきまで取引をしていた相手が気付けば白骨」》,《「全く、時の流れとは残酷なものだ」》"
9,"2,3,4","《「そうそう、良いことを教えてやろう」》,《「奈落において最も優れた能力とは何であるか」》,《「生き延びる奴の共通点、それは……」》,《「誰もが『ツイてる』……ってことだ」》"
